ID,7-温度过高,8-温度预警,15-箱门告警,16-防雷告警,18-风扇故障,19-网络设备异常,20-视频1网络异常,21-补光灯异常开启,22-补光灯异常关闭,23-视频2网络异常,24-视频3网络异常,25-视频4网络异常,26-视频5网络异常,27-视频6网络异常,28-温度低,29-监控网络连接异常,30-市电异常
10022,,,3219.0,,,,,,,,,,,,,,
10071,,,3259.0,,,,,,,,,,,,,,
10102,,,3187.0,,,,,,,,,,,,,,
10115,,,3178.0,,,,,,,,,,,,,,
10118,,,3184.0,,3184.0,,,,,,,,,,,,
10119,,,,3187.0,,,,,,,,,,,,,
10131,,,3196.0,,,,,,,,,,,,,,
10135,,,57.0,,,,,,,,,,,,,7985.0,
10139,,,,,,,,,,,,,,,,303.0,
10142,,,3195.0,,,,,,,,,,,,,,
10150,,,,3188.0,,,,,,,,,,,,,
10156,,,3196.0,,,,,,,,,,,,,,
10171,,,3310.0,,,,,,,,,,,,,,
10177,,,,,,,,,,,,,,,,8628.0,
10178,,,,,,,3196.0,,,,,,,,,,
10181,,,25.0,,,,,,,,,,,,,,
10185,,,15.0,,,,,,,,,,,,,,
10186,,,,,,,3193.0,,,,,,,,,,
10188,,,,3182.0,,,,,,,,,,,,,
10193,,,,3177.0,,,,,,,,,,,,,
10200,,,3006.0,,,,,,,,,,,,,,
10213,,,3202.0,,,,,,,,,,,,,,
10221,,,3202.0,,,,,,,,,,,,,,
10227,,,,3194.0,,,,,,,,,,,,,
10245,,,3260.0,,,,,,,,,,,,,,
10246,,,3320.0,,,,,,,,,,,,,,
10250,,,3192.0,,,,,,,,,,,,,,
10261,,,,,,,,,,,,,,,,9498.0,
10266,,,3190.0,,,,,,,,,,,,,,
10279,,,,,,,,,,,,,,,,9462.0,
10280,,,3207.0,,,,,,,,,,,,,,
10284,,,41.0,,,,1713.0,,,,,,,,,33.0,
10292,,,84.0,,,,37.0,,,,,,,,,,
10294,,,2801.0,,,,,,,,,,,,,,
10299,,,,3186.0,,,,,,,,,,,,,
10300,,,,,3187.0,,,,,,,,,,,,
10304,,,,3197.0,3197.0,,,,,,,,,,,,
10305,,,,,,,704.0,,,,,,,,,,
10309,,,3187.0,,,,,,,,,,,,,,
10310,,,,,,,,,,,,,,,,,54.0
10313,,,1910.0,,,,,,,,,,,,,,
10315,,,136.0,,,,,,,,,,,,,,
10318,,,3197.0,,3197.0,,,,,,,,,,,,
10324,,,3189.0,,,,,,,,,,,,,,
10329,,,2949.0,,,,,,,,,,,,,,
10351,,,45.0,,,,,,,,,,,,,4656.0,
10428,,,2601.0,,,,,,,,,,,,,,
10444,,,371.0,,,,,,,,,,,,,,
10453,,,3180.0,,,,,,,,,,,,,,
10456,,,,,3198.0,,,,,,,,,,,,
10459,,,,,,,18.0,,,,,,,,,,
10470,,,3181.0,,,,,,,,,,,,,,
10486,,,,,,,,,,,,,,,,55.0,
10488,,,,,,,,,,,,,,,,9015.0,
10507,,,,,,,,,,,,,,,,9474.0,
10546,,,14.0,,,,,,,,,,,,,,
10551,,,3213.0,,,,,,,,,,,,,,
10555,,,13.0,,,,,,,,,,,,,,
10560,,,,,,,,,,3212.0,,,,,,,
10563,,,3202.0,,,,,,,,,,,,,,
10565,,,17.0,,,,,,,,,,,,,,
10566,,,20.0,,,,,,,,,,,,,,
10570,,,47.0,,,,,,,,,,,,,,
10578,,,,,,9447.0,,,,,,,,,,,
10602,,,42.0,,,,,,,,,,,,,15.0,
10612,,,,,,,,,,,,,,,,13.0,
10616,,,,,,,,,,3186.0,,,,,,,
10617,,,53.0,,,,,,,,,,,,,21.0,
10643,,,2872.0,,,,,,,,,,,,,,
10649,,,,,,,,,,,,,,,,4767.0,
10658,,,,,,,11.0,,,,,,,,,,
10664,,,,,,,4726.0,,,,,,,,,5091.0,
10665,,,30.0,,,,,,,,,,,,,,
10674,,,,,,,9513.0,,,,,,,,,9513.0,
10682,,,11.0,,,,,,,,,,,,,,
10685,,,52.0,,,,,,,,,,,,,,
10694,,,,,,,,,,,757.0,,,,,,
10695,,,2139.0,2139.0,,,,,,,,,,,,,
10715,,,,,,,,,,3199.0,,,,,,,
10719,,,21.0,,,,,,,,,,,,,,
10737,,,,,,,,,,,,,,,,8430.0,
10759,,,,,,,,,,,,,,,,8757.0,
10775,,,3181.0,,,,,,,,,,,,,,
10776,,,3191.0,,,,,,,,,,,,,,
10779,,,3226.0,3226.0,,,,,,,,,,,,,
10780,,,,66.0,,,,,,,,,,,,,
10786,,,3200.0,,,,,,,,,,,,,,
10790,,,,,,,,,,,,,,,,2187.0,
10797,,,,,,,3217.0,,,,,,,,,,
10799,,,1590.0,,,,,,,,,,,,,,
10826,,,3207.0,,,,,,,,,,,,,,
10827,,,,,,,,,,,,,,,,8847.0,
10829,,,,,3195.0,,,,,,,,,,,,
10834,,,,3177.0,,,,,,,,,,,,,
10839,,,3181.0,,,,,,,,,,,,,,
10853,,,3210.0,,,,,,,,,,,,,,
10856,,,,,,,183.0,,,89.0,61.0,,,,,48.0,
10857,,,3210.0,,,,,,,,,,,,,,
10863,,,14.0,,,,,,,,,,,,,,
10869,,,,,3217.0,,,,,,,,,,,,
10873,,,3184.0,,,,,,,,,,,,,,
10874,,,3188.0,,,,,,,,,,,,,,
10875,,,3115.0,,,,3115.0,,,121.0,,,,,,,
10876,,,,,,,,,,,,,,,,,495.0
10879,,,132.0,,,,,,,,,,,,,,
10882,,,123.0,,,,,,,,,,,,,,
10886,,,38.0,,,,,,,,,,,,,,
10892,,,,,,,,,,,3277.0,,,,,,
10897,,,54.0,,,,50.0,,,,,,,,,,
10912,,,,,,,3179.0,,,,,,,,,,
10913,,,433.0,,,,,,,,,,,,,,
10937,,,6490.0,,,,,,,,60.0,,,,,4449.0,
10940,,,,,,,,,,,,,,,,9051.0,
10947,,,3188.0,3188.0,,,,,,,,,,,,,
10953,,,3195.0,,,,,,,,,,,,,,
10958,,,3213.0,,,,,,,,,,,,,,
10961,,,,,,,3200.0,,,,,,,,,,
10964,,,,,,,102.0,,,102.0,102.0,,,,,126.0,
10967,,,13.0,,,,,,,,,,,,,,
10971,,,,,3211.0,,,,,,,,,,,,
10981,,,3199.0,,,,,,,,,,,,,,
10991,,,,,,,,,,3313.0,,,,,,,
10993,,,3191.0,,,,,,,,,,,,,,
11005,,,38.0,,,,,,,,,,,,,,
11020,,,3199.0,,,,,,,,,,,,,,
11023,,,2999.0,,,,,,,,,,,,,,
11028,,,,,,,3191.0,,,,,,,,,,
11029,,,,,,,3198.0,,,,,,,,,,
11034,,,,,3198.0,,,,,,,,,,,,
11039,,,46.0,,,,,,,,,,,,,,
11040,,,,,,,,,,2993.0,,,,,,,
11041,,,3179.0,,,,,,,,,,,,,,
11059,,,3209.0,,3209.0,,,,,,,,,,,,
11060,,,,,3202.0,,,,,,,,,,,,
11061,,,3195.0,,,,,,,,,,,,,,
11072,,,,,3409.0,,,,,,,,,,,,
11074,,,,,,,3016.0,,,,,,,,,,
11083,,,,,,,3175.0,,,,,,,,,,
11100,,,,,,,,,,,,,,,,,423.0
11105,,,1307.0,,,,,,,,,,,,,,
11118,,,,,,,3203.0,,,,,,,,,,
11123,,,3465.0,,,,,,,,,,,,,,
11133,,,2761.0,,,,,,,,,,,,,,
11143,,,3185.0,,,,,,,,,,,,,,
11147,,,9441.0,9441.0,9441.0,,9441.0,,,,,,,,,9441.0,
11150,,,3203.0,,,,,,,,,,,,,,
11153,,,78.0,,,,3239.0,,,,,,,,,54.0,
11161,,,,3181.0,3181.0,,731.0,,,,,,,,,,
11164,,,,,3249.0,,,,,,,,,,,,
11176,,,3218.0,,,,,,,,,,,,,,
11184,,,3190.0,,,,,,,,,,,,,,
11185,,,,,,,,,,,,,,,,,130.0
11188,,,50.0,,,,,,,,,,,,,,
11201,,,3189.0,,,,,,,,,,,,,,
11204,,,12.0,,,,,,,,,,,,,,13.0
11208,,,2645.0,,,,,,,,,,,,,,
11211,,,,,,,16.0,,,,,,,,,,
11214,,,3327.0,,,,,,,,,,,,,,
11218,,,,,,,3061.0,,,,,,,,,,
11224,,,,,3187.0,,15.0,,,,,,,,,,
11231,,,,,,,,,,2987.0,,,,,,,
11236,,,3190.0,,,,,,,,,,,,,,
11240,,,3215.0,,,,,,,,,,,,,,
11262,,,16.0,,,,,,,,,,,,,,
11269,,,12.0,,,,,,,,,,,,,,
11272,,,3182.0,,,,,,,,,,,,,,
11273,,,3210.0,,,,,,,,,,,,,,
11280,,,3192.0,,,,,,,,,,,,,,
11288,,,3204.0,,,,,,,,,,,,,,
11324,,,,,3197.0,,,,,,,,,,,,
11334,,,32.0,,,,,,,,,,,,,,
11337,,,,,,,,,,,,,,,,8358.0,
11342,,,2949.0,,,,,,,,,,,,,,
11351,,,36.0,,,,15.0,,,,,,,,,31.0,
11355,,,3203.0,,,,,,,,,,,,,,
11358,,,3044.0,,,,,,,,,,,,,,
11363,,,3200.0,,,,,,,,,,,,,,
11368,,,3200.0,,,,,,,,,,,,,,
11373,,,62.0,,,,,,,,,,,,,348.0,
11399,,,115.0,,,,,,,,,,,,,,
11402,,,3204.0,,,,,,,,,,,,,,
11407,,,3093.0,,,,,,,,,,,,,,
11416,,,3181.0,,,,,,,,,,,,,,
11417,,,3177.0,,,,,,,,,,,,,,
11419,,,3205.0,,,,,,,,,,,,,,
11427,,,3204.0,,,,,,,,,,,,,,
11447,,,,,,,,,,,,,,,,,61.0
11448,,,,,,,,,,,,,,,,,41.0
11449,,,,,,,,,,,,,,,,,59.0
11450,,,,,,,,,,,,,,,,,53.0
11451,,,,,,,73.0,,,,,,,,,90.0,
11455,,,,,,,,,,3203.0,3203.0,,,,,,
11457,,,,,,,,,,3208.0,,,,,,,
11460,,,3193.0,,,,,,,,,,,,,,
11462,,,,,,,,,,,,,,,,,13.0
11463,,,,,,,,,,,,,,,,33.0,
11464,,,,,,,,,,11.0,,,,,,27.0,
11465,,,,,,,,,,,,,,,,24.0,
11467,,,36.0,,,,,,,,,,,,,24.0,
11486,,,3210.0,,,,,,,,,,,,,,
11502,,,3204.0,,,,,,,,,,,,,,
11504,,,,3420.0,,,,,,,,,,,,,
11505,,,3217.0,,,,,,,,,,,,,,
11507,,,,,,,626.0,,,,583.0,,,,,3127.0,
11525,,,,,9459.0,9459.0,,,,,,,,,,9459.0,
11530,,,11.0,,,,,,,,,,,,,,
11543,,,3399.0,,,,,,,,,,,,,,
11554,,,,,,,295.0,,,,,,,,,,
11562,,,3212.0,,,,,,,,,,,,,,
18519,,,148.0,,,,,,,,,,,,,,
23545,,,,,,,,,,,,,,,,9477.0,
23580,,,22.0,,,,,,,,,,,,,9447.0,
23583,,,,,3185.0,,,,,,,,,,,,
30788,,,,,,,3216.0,,,3216.0,3216.0,,,,,,
30816,,,46.0,,,,,,,,45.0,,,,,,
30831,,,3193.0,,,,,,,,,,,,,,
31629,,,3221.0,,,,,,,,,,,,,,
31738,,,33.0,,,,,,,,,,,,,8652.0,12.0
31744,,,,,,,1208.0,,,,,,,,,,
31745,,,,,,,96.0,,,,,,,,,,102.0
31754,,,,,,,,,,,,,,,,8157.0,
31899,,,3201.0,,,,,,,,,,,,,18.0,
32096,,,,,3213.0,,,,,,,,,,,18.0,
32188,,,3193.0,,,,,,,,,,,,,,
32269,,,,,,,,,,,,,,,,18.0,
32271,,,3240.0,,,,,,,,,,,,,18.0,
32432,,,31.0,,,,,,,,,,,,,,
32439,,,2388.0,,,,73.0,,,,,,,,,,65.0
32441,,,14.0,,,,,,,,,,,,,,
32645,,,,,,,,,,,,,,,,2277.0,
33676,,,,,,,,,,3176.0,,,,,,,
33691,,,,,,,27.0,,,,,,,,,,
33694,,,,,,,,,,,,,,,,,108.0
33697,,,,,,,,,,,,,,,,8754.0,
33698,,,,,,,96.0,,,,,,,,,96.0,102.0
33700,,,54.0,,,,28.0,,,,,,,,,27.0,27.0
33753,,,702.0,702.0,,,86.0,,,,,,,,,,
33901,,,,,,,89.0,,,,,,,,,429.0,91.0
33909,,,,,,,,,,,,,,,,8337.0,
33920,,,,,,,,,,,,,,,,762.0,
33926,,,,,,,176.0,,,,,,,,,185.0,197.0
33928,,,3262.0,,,,,,,,,,,,,,
34002,,,11.0,2988.0,,,,,,,,,,,,,
34015,,,3198.0,,,,,,,,,,,,,,
35678,,,3194.0,,,,,,,,,,,,,,
35681,,,,,,,1029.0,,,,,,,,,1026.0,1023.0
36572,,,,3197.0,,,,,,,,,,,,,
36577,,,,,,,,,,3206.0,,,,,,,
36621,,,3204.0,,,,,,,,,,,,,,
36622,,,,,3248.0,,,,,,,,,,,,
36758,,,2455.0,,,,,,,,,,,,,,
37326,,,82.0,,,,,,,,,,,,,,
57932,,,33.0,,,,218.0,,,,,,,,,15.0,
57957,,,,,,,,,,,,,,,,9456.0,
