,1-ID,longtitude,magtitude
0,30774,113.269323,22.632017
204,30800,113.29258,22.614653
407,30823,113.302783,22.594232
614,30824,113.306123,22.62186
817,31043,113.279915,22.612868
1020,33756,113.305832,22.596652
1223,57994,113.26766200000002,22.620478
1426,58003,113.279925,22.641745
1629,58041,113.287523,22.589658
1832,58355,113.308658,22.59063
2039,58373,113.299138,22.592048
2242,58827,113.27537,22.612935
2445,58945,113.27013999999998,22.568837
2648,58946,113.277967,22.626822
2855,59116,113.33684,22.607218
3062,59127,113.296235,22.584708
3265,59158,113.28487,22.592302
3471,59218,113.272455,22.629192
3674,59281,113.27904,22.631707
3878,59291,113.292673,22.588928
4081,59345,113.28861299999998,22.624028
4286,59346,113.26571,22.591125
4489,59718,113.270442,22.657995
4692,59764,113.287798,22.640935
4895,59766,113.306533,22.586195
5098,59930,113.285173,22.619453
