区域,日期,时间,箱门告警,防雷告警,风扇故障,网络设备异常,视频1网络异常,视频2网络异常,视频3网络异常,监控网络连接异常,市电异常
18,5/25/2020,20052507,0,0,0,0,6,0,0,6,0
18,5/25/2020,20052508,645,109,57,0,237,0,0,276,0
18,5/25/2020,20052509,691,114,60,0,245,0,0,297,7
18,5/25/2020,20052510,671,121,60,0,240,0,0,216,0
18,5/25/2020,20052511,704,120,60,0,240,0,0,246,0
18,5/25/2020,20052512,724,120,60,0,240,0,0,249,0
18,5/25/2020,20052513,674,122,60,0,240,0,0,300,0
18,5/25/2020,20052514,719,120,60,0,240,0,0,249,0
18,5/25/2020,20052515,675,125,60,0,240,0,0,300,0
18,5/25/2020,20052516,688,124,60,0,240,0,0,222,0
18,5/25/2020,20052517,675,105,60,0,276,0,0,291,0
18,5/25/2020,20052518,725,67,60,0,240,0,0,246,0
18,5/25/2020,20052519,738,64,60,0,240,0,0,297,0
18,5/25/2020,20052520,718,86,60,0,240,0,0,252,0
18,5/25/2020,20052521,704,72,60,0,246,0,0,294,0
18,5/25/2020,20052522,741,63,60,0,240,0,0,261,0
18,5/25/2020,20052523,739,70,60,0,240,0,0,279,0
18,5/26/2020,20052600,760,122,60,0,240,0,0,246,0
18,5/26/2020,20052601,787,120,60,0,240,0,0,264,0
18,5/26/2020,20052602,788,120,60,0,240,0,0,240,0
18,5/26/2020,20052603,733,127,60,0,240,0,0,291,0
18,5/26/2020,20052604,725,120,60,0,240,0,0,252,0
18,5/26/2020,20052605,729,120,60,0,262,0,0,285,0
18,5/26/2020,20052606,733,127,60,0,315,0,0,303,3
18,5/26/2020,20052607,757,124,62,0,307,0,0,252,2
18,5/26/2020,20052608,776,122,60,0,300,0,0,249,0
18,5/26/2020,20052609,723,128,61,0,304,0,0,231,1
18,5/26/2020,20052610,770,122,60,0,300,0,0,213,0
18,5/26/2020,20052611,753,122,60,0,300,0,0,279,0
18,5/26/2020,20052612,718,122,60,0,303,0,0,255,0
18,5/26/2020,20052613,712,120,60,0,302,0,0,288,0
18,5/26/2020,20052614,728,124,60,0,307,0,0,264,0
18,5/26/2020,20052615,761,120,60,0,311,0,0,256,9
18,5/26/2020,20052616,731,85,60,0,300,0,0,258,0
18,5/26/2020,20052617,752,65,60,0,300,0,0,264,7
18,5/26/2020,20052618,727,70,60,0,302,0,0,255,0
18,5/26/2020,20052619,715,62,60,0,303,0,0,243,2
18,5/26/2020,20052620,728,60,60,0,300,0,0,246,0
18,5/26/2020,20052621,725,60,60,0,303,0,0,240,0
18,5/26/2020,20052622,725,60,60,0,300,0,0,252,0
18,5/26/2020,20052623,730,67,60,0,300,0,0,291,0
18,5/27/2020,20052700,716,82,60,0,303,0,0,255,3
18,5/27/2020,20052701,725,106,62,0,297,0,0,249,0
18,5/27/2020,20052702,342,63,28,0,148,0,0,105,0
18,5/27/2020,20052703,726,120,60,0,300,0,0,297,0
18,5/27/2020,20052704,726,124,62,0,300,0,0,255,0
18,5/27/2020,20052705,728,122,60,0,300,0,0,288,0
18,5/27/2020,20052706,720,126,60,0,304,0,0,240,3
18,5/27/2020,20052707,727,120,60,0,306,0,0,270,0
18,5/27/2020,20052708,724,122,60,0,301,0,0,258,2
18,5/27/2020,20052709,720,124,60,0,300,0,0,252,0
18,5/27/2020,20052710,725,120,60,0,300,0,0,258,0
18,5/27/2020,20052711,710,123,60,0,302,0,0,282,0
18,5/27/2020,20052712,703,120,60,0,300,0,0,267,0
18,5/27/2020,20052713,694,124,60,0,300,0,0,273,0
18,5/27/2020,20052714,701,124,60,0,302,0,0,276,0
18,5/27/2020,20052715,737,120,60,0,300,0,0,237,4
18,5/27/2020,20052716,769,125,60,0,319,0,0,267,1
18,5/27/2020,20052717,721,120,60,0,301,0,0,330,0
18,5/27/2020,20052718,725,77,60,0,300,0,0,261,0
18,5/27/2020,20052719,473,39,40,0,180,0,0,159,0
18,5/27/2020,20052723,0,0,0,0,15,0,0,15,0
18,5/28/2020,20052800,720,60,60,0,302,0,0,267,0
18,5/28/2020,20052801,726,60,60,0,302,0,0,267,0
18,5/28/2020,20052802,722,62,62,0,312,0,0,246,0
18,5/28/2020,20052803,720,67,60,0,300,0,0,222,0
18,5/28/2020,20052804,725,64,60,0,302,0,0,276,0
18,5/28/2020,20052805,720,63,60,0,302,0,0,231,0
18,5/28/2020,20052806,720,65,60,0,304,0,0,267,0
18,5/28/2020,20052807,726,63,60,0,311,0,0,279,3
18,5/28/2020,20052808,722,62,60,0,319,0,0,288,9
18,5/28/2020,20052809,720,62,60,0,305,0,0,255,0
18,5/28/2020,20052810,722,61,60,0,306,0,0,249,0
18,5/28/2020,20052811,715,68,60,0,320,0,0,267,2
18,5/28/2020,20052812,702,60,60,0,319,43,0,228,1
18,5/28/2020,20052813,735,72,60,0,300,60,0,297,0
18,5/28/2020,20052814,720,62,60,0,303,60,0,240,0
18,5/28/2020,20052815,181,17,15,0,60,15,0,75,0
19,5/25/2020,20052507,0,0,0,0,0,0,0,6,0
19,5/25/2020,20052508,1260,19,171,0,62,0,0,175,0
19,5/25/2020,20052509,1321,18,182,0,64,0,0,163,1
19,5/25/2020,20052510,1323,15,186,0,65,0,0,179,0
